INFO:root:Datetime: 28/07/2021 14:36:02 | position: 2.60 -2.45 0.27
INFO:root:Datetime: 28/07/2021 14:36:03 | position: 2.61 -2.40 0.19
INFO:root:Datetime: 28/07/2021 14:36:03 | position: 2.61 -2.42 0.19
INFO:root:Datetime: 28/07/2021 14:36:03 | position: 2.61 -2.43 0.18
INFO:root:Datetime: 28/07/2021 14:36:04 | position: 2.62 -2.41 0.16
INFO:root:Datetime: 28/07/2021 14:36:04 | position: 2.61 -2.41 0.17
INFO:root:Datetime: 28/07/2021 14:36:04 | position: 2.61 -2.42 0.18
INFO:root:Datetime: 28/07/2021 14:36:05 | position: 2.60 -2.49 0.26
INFO:root:Datetime: 28/07/2021 14:36:05 | position: 2.60 -2.65 0.65
INFO:root:Datetime: 28/07/2021 14:36:05 | position: 2.62 -2.47 0.32
INFO:root:Datetime: 28/07/2021 14:36:05 | position: 2.62 -2.41 0.20
INFO:root:Datetime: 28/07/2021 14:36:06 | position: 2.60 -2.42 0.18
INFO:root:Datetime: 28/07/2021 14:36:06 | position: 2.60 -2.39 0.13
INFO:root:Datetime: 28/07/2021 14:36:06 | position: 2.62 -2.39 0.14
INFO:root:Datetime: 28/07/2021 14:36:07 | position: 2.60 -2.50 0.26
