90 cm decrements in Y axis
INFO:root:Datetime: 28/07/2021 15:04:46 | position: 0.38 13.59 -0.12
INFO:root:Datetime: 28/07/2021 15:04:46 | position: 0.43 13.42 -0.22
INFO:root:Datetime: 28/07/2021 15:04:47 | position: 0.37 13.62 0.08
INFO:root:Datetime: 28/07/2021 15:04:47 | position: 0.39 13.54 -0.02
INFO:root:Datetime: 28/07/2021 15:04:47 | position: 0.35 13.57 0.02
INFO:root:Datetime: 28/07/2021 15:04:48 | position: 0.35 13.59 0.11
INFO:root:Datetime: 28/07/2021 15:04:48 | position: 0.36 13.72 0.22
INFO:root:Datetime: 28/07/2021 15:04:48 | position: 0.36 13.48 -0.08
INFO:root:Datetime: 28/07/2021 15:04:48 | position: 0.34 13.55 -0.00
INFO:root:Datetime: 28/07/2021 15:04:49 | position: 0.36 13.48 -0.06
INFO:root:Datetime: 28/07/2021 15:04:49 | position: 0.36 13.37 -0.18
INFO:root:Datetime: 28/07/2021 15:04:49 | position: 0.35 13.65 0.20
INFO:root:Datetime: 28/07/2021 15:04:50 | position: 0.33 13.48 -0.01
INFO:root:Datetime: 28/07/2021 15:04:50 | position: 0.39 13.49 -0.03
INFO:root:Datetime: 28/07/2021 15:04:50 | position: 0.34 13.60 0.08
INFO:root:Datetime: 28/07/2021 15:04:51 | position: 0.36 13.56 0.00
INFO:root:Datetime: 28/07/2021 15:04:51 | position: 0.36 13.58 0.02
INFO:root:Datetime: 28/07/2021 15:04:51 | position: 0.38 13.61 0.07
INFO:root:Datetime: 28/07/2021 15:04:51 | position: 0.37 13.56 0.00
INFO:root:Datetime: 28/07/2021 15:04:52 | position: 0.41 13.45 -0.15
INFO:root:Datetime: 28/07/2021 15:04:52 | position: 0.38 13.60 0.09
INFO:root:Datetime: 28/07/2021 15:04:52 | position: 0.32 13.65 0.13
INFO:root:Datetime: 28/07/2021 15:04:53 | position: 0.29 13.54 0.00
INFO:root:Datetime: 28/07/2021 15:04:53 | position: 0.25 13.47 -0.08
INFO:root:Datetime: 28/07/2021 15:04:53 | position: 0.13 13.66 0.08
INFO:root:Datetime: 28/07/2021 15:04:54 | position: -0.10 13.68 0.16
INFO:root:Datetime: 28/07/2021 15:04:54 | position: -0.24 13.76 0.35
INFO:root:Datetime: 28/07/2021 15:04:54 | position: -0.15 13.71 0.27
INFO:root:Datetime: 28/07/2021 15:04:54 | position: -0.13 13.61 0.11
INFO:root:Datetime: 28/07/2021 15:04:55 | position: -0.07 13.68 0.17
INFO:root:Datetime: 28/07/2021 15:04:55 | position: -0.13 13.55 -0.06
INFO:root:Datetime: 28/07/2021 15:04:55 | position: nan nan nan
INFO:root:Datetime: 28/07/2021 15:04:56 | position: nan nan nan
INFO:root:Datetime: 28/07/2021 15:04:56 | position: 0.10 13.48 0.03
INFO:root:Datetime: 28/07/2021 15:04:56 | position: -0.01 13.22 0.01
INFO:root:Datetime: 28/07/2021 15:04:57 | position: 0.11 13.04 -0.01
INFO:root:Datetime: 28/07/2021 15:04:57 | position: 0.12 12.85 0.03
INFO:root:Datetime: 28/07/2021 15:04:57 | position: -0.04 12.67 0.01
INFO:root:Datetime: 28/07/2021 15:04:57 | position: nan nan nan
INFO:root:Datetime: 28/07/2021 15:04:58 | position: 0.24 12.90 0.41
INFO:root:Datetime: 28/07/2021 15:04:58 | position: nan nan nan
INFO:root:Datetime: 28/07/2021 15:04:58 | position: 0.52 12.64 -0.15
INFO:root:Datetime: 28/07/2021 15:04:59 | position: 0.61 12.43 -0.41
INFO:root:Datetime: 28/07/2021 15:04:59 | position: 0.67 12.34 -0.53
INFO:root:Datetime: 28/07/2021 15:04:59 | position: 0.72 12.32 -0.57
INFO:root:Datetime: 28/07/2021 15:05:00 | position: 0.75 12.30 -0.59
INFO:root:Datetime: 28/07/2021 15:05:00 | position: 0.70 12.30 -0.58
INFO:root:Datetime: 28/07/2021 15:05:00 | position: 0.68 12.30 -0.58
INFO:root:Datetime: 28/07/2021 15:05:00 | position: 0.69 12.25 -0.60
INFO:root:Datetime: 28/07/2021 15:05:01 | position: 0.69 12.29 -0.59
INFO:root:Datetime: 28/07/2021 15:05:01 | position: 0.69 12.27 -0.59
INFO:root:Datetime: 28/07/2021 15:05:01 | position: 0.68 12.30 -0.57
INFO:root:Datetime: 28/07/2021 15:05:02 | position: 0.66 12.32 -0.55
INFO:root:Datetime: 28/07/2021 15:05:02 | position: 0.67 12.31 -0.55
INFO:root:Datetime: 28/07/2021 15:05:02 | position: 0.69 12.29 -0.57
INFO:root:Datetime: 28/07/2021 15:05:03 | position: 0.70 12.28 -0.57
INFO:root:Datetime: 28/07/2021 15:05:03 | position: 0.70 12.29 -0.57
INFO:root:Datetime: 28/07/2021 15:05:03 | position: 0.71 12.29 -0.56
INFO:root:Datetime: 28/07/2021 15:05:03 | position: 0.73 12.30 -0.55
INFO:root:Datetime: 28/07/2021 15:05:04 | position: 0.68 12.30 -0.55
INFO:root:Datetime: 28/07/2021 15:05:04 | position: 0.63 12.28 -0.56
INFO:root:Datetime: 28/07/2021 15:05:04 | position: 0.60 12.29 -0.59
INFO:root:Datetime: 28/07/2021 15:05:05 | position: 0.56 12.28 -0.62
INFO:root:Datetime: 28/07/2021 15:05:05 | position: 0.59 12.29 -0.61
INFO:root:Datetime: 28/07/2021 15:05:05 | position: 0.48 12.27 -0.66
INFO:root:Datetime: 28/07/2021 15:05:06 | position: 0.34 12.29 -0.63
INFO:root:Datetime: 28/07/2021 15:05:06 | position: 0.30 12.31 -0.59
INFO:root:Datetime: 28/07/2021 15:05:06 | position: 0.32 12.29 -0.59
INFO:root:Datetime: 28/07/2021 15:05:06 | position: 0.37 12.32 -0.56
INFO:root:Datetime: 28/07/2021 15:05:07 | position: 0.49 12.31 -0.58
INFO:root:Datetime: 28/07/2021 15:05:07 | position: 0.61 12.48 -0.47
INFO:root:Datetime: 28/07/2021 15:05:07 | position: 0.60 12.59 -0.42
INFO:root:Datetime: 28/07/2021 15:05:08 | position: 0.32 12.45 -0.13
INFO:root:Datetime: 28/07/2021 15:05:08 | position: 0.36 12.01 -0.14
INFO:root:Datetime: 28/07/2021 15:05:08 | position: 0.28 11.91 -0.04
INFO:root:Datetime: 28/07/2021 15:05:09 | position: 0.20 11.94 0.06
INFO:root:Datetime: 28/07/2021 15:05:09 | position: 0.17 11.87 0.03
INFO:root:Datetime: 28/07/2021 15:05:09 | position: 0.21 11.92 0.07
INFO:root:Datetime: 28/07/2021 15:05:09 | position: 0.21 11.89 0.08
INFO:root:Datetime: 28/07/2021 15:05:10 | position: 0.18 11.73 0.03
INFO:root:Datetime: 28/07/2021 15:05:10 | position: 0.22 11.68 0.02
INFO:root:Datetime: 28/07/2021 15:05:10 | position: 0.26 11.67 0.02
INFO:root:Datetime: 28/07/2021 15:05:11 | position: 0.26 11.62 -0.00
INFO:root:Datetime: 28/07/2021 15:05:11 | position: 0.25 11.63 0.01
INFO:root:Datetime: 28/07/2021 15:05:11 | position: 0.24 11.60 -0.01
INFO:root:Datetime: 28/07/2021 15:05:12 | position: 0.25 11.61 0.01
INFO:root:Datetime: 28/07/2021 15:05:12 | position: 0.27 11.60 0.00
INFO:root:Datetime: 28/07/2021 15:05:12 | position: 0.29 11.62 0.01
INFO:root:Datetime: 28/07/2021 15:05:12 | position: 0.28 11.62 0.01
INFO:root:Datetime: 28/07/2021 15:05:13 | position: 0.12 11.62 -0.02
INFO:root:Datetime: 28/07/2021 15:05:13 | position: 0.14 11.62 -0.00
INFO:root:Datetime: 28/07/2021 15:05:13 | position: 0.24 11.63 -0.00
INFO:root:Datetime: 28/07/2021 15:05:14 | position: 0.27 11.64 0.00
INFO:root:Datetime: 28/07/2021 15:05:14 | position: 0.27 11.65 0.02
INFO:root:Datetime: 28/07/2021 15:05:14 | position: 0.31 11.64 0.00
INFO:root:Datetime: 28/07/2021 15:05:15 | position: 0.30 11.62 -0.02
INFO:root:Datetime: 28/07/2021 15:05:15 | position: 0.29 11.62 0.01
INFO:root:Datetime: 28/07/2021 15:05:15 | position: 0.22 11.63 0.02
INFO:root:Datetime: 28/07/2021 15:05:15 | position: 0.14 11.66 0.02
INFO:root:Datetime: 28/07/2021 15:05:16 | position: 0.15 11.63 0.02
INFO:root:Datetime: 28/07/2021 15:05:16 | position: 0.13 11.65 0.03
INFO:root:Datetime: 28/07/2021 15:05:16 | position: 0.16 11.61 0.00
INFO:root:Datetime: 28/07/2021 15:05:17 | position: 0.15 11.62 0.01
INFO:root:Datetime: 28/07/2021 15:05:17 | position: 0.17 11.61 -0.00
INFO:root:Datetime: 28/07/2021 15:05:17 | position: 0.18 11.61 0.00
INFO:root:Datetime: 28/07/2021 15:05:18 | position: 0.26 11.62 0.02
INFO:root:Datetime: 28/07/2021 15:05:18 | position: 0.30 11.61 0.00
INFO:root:Datetime: 28/07/2021 15:05:18 | position: 0.32 11.61 0.01
INFO:root:Datetime: 28/07/2021 15:05:18 | position: 0.32 11.60 0.00
INFO:root:Datetime: 28/07/2021 15:05:19 | position: 0.19 11.64 0.00
INFO:root:Datetime: 28/07/2021 15:05:19 | position: 0.26 11.63 -0.02
INFO:root:Datetime: 28/07/2021 15:05:19 | position: 0.34 11.73 -0.07
INFO:root:Datetime: 28/07/2021 15:05:20 | position: 0.25 11.61 -0.11
INFO:root:Datetime: 28/07/2021 15:05:20 | position: 0.16 11.44 -0.12
INFO:root:Datetime: 28/07/2021 15:05:20 | position: 0.19 11.26 -0.18
INFO:root:Datetime: 28/07/2021 15:05:21 | position: 0.37 11.11 -0.13
INFO:root:Datetime: 28/07/2021 15:05:21 | position: 0.21 10.89 0.02
INFO:root:Datetime: 28/07/2021 15:05:21 | position: 0.15 10.77 0.09
INFO:root:Datetime: 28/07/2021 15:05:21 | position: 0.07 10.78 0.10
INFO:root:Datetime: 28/07/2021 15:05:22 | position: 0.15 10.74 0.09
INFO:root:Datetime: 28/07/2021 15:05:22 | position: 0.18 10.71 0.09
INFO:root:Datetime: 28/07/2021 15:05:22 | position: 0.22 10.74 0.08
INFO:root:Datetime: 28/07/2021 15:05:23 | position: 0.22 10.73 0.06
INFO:root:Datetime: 28/07/2021 15:05:23 | position: 0.25 10.73 0.04
INFO:root:Datetime: 28/07/2021 15:05:23 | position: 0.24 10.73 0.05
INFO:root:Datetime: 28/07/2021 15:05:24 | position: 0.22 10.75 0.04
INFO:root:Datetime: 28/07/2021 15:05:24 | position: 0.27 10.76 0.05
INFO:root:Datetime: 28/07/2021 15:05:24 | position: 0.26 10.75 0.06
INFO:root:Datetime: 28/07/2021 15:05:24 | position: 0.30 10.73 0.06
INFO:root:Datetime: 28/07/2021 15:05:25 | position: 0.30 10.75 0.05
INFO:root:Datetime: 28/07/2021 15:05:25 | position: 0.28 10.74 0.06
INFO:root:Datetime: 28/07/2021 15:05:25 | position: 0.29 10.73 0.06
INFO:root:Datetime: 28/07/2021 15:05:26 | position: 0.29 10.74 0.06
INFO:root:Datetime: 28/07/2021 15:05:26 | position: 0.29 10.73 0.06
INFO:root:Datetime: 28/07/2021 15:05:26 | position: 0.27 10.75 0.05
