INFO:root:Datetime: 28/07/2021 14:58:23 | position: 1.44 2.85 0.62
INFO:root:Datetime: 28/07/2021 14:58:23 | position: 1.54 3.33 0.71
INFO:root:Datetime: 28/07/2021 14:58:23 | position: 1.66 3.82 0.63
INFO:root:Datetime: 28/07/2021 14:58:23 | position: 1.48 4.06 0.74
INFO:root:Datetime: 28/07/2021 14:58:24 | position: 1.57 4.22 0.83
INFO:root:Datetime: 28/07/2021 14:58:24 | position: 1.61 4.71 0.91
INFO:root:Datetime: 28/07/2021 14:58:24 | position: 1.85 5.17 0.86
INFO:root:Datetime: 28/07/2021 14:58:25 | position: 1.85 5.36 0.82
INFO:root:Datetime: 28/07/2021 14:58:25 | position: 1.71 5.62 0.76
INFO:root:Datetime: 28/07/2021 14:58:25 | position: 1.82 6.20 0.81
INFO:root:Datetime: 28/07/2021 14:58:26 | position: 1.81 6.54 0.75
INFO:root:Datetime: 28/07/2021 14:58:26 | position: 1.79 6.57 0.69
INFO:root:Datetime: 28/07/2021 14:58:26 | position: 2.20 6.77 0.86
INFO:root:Datetime: 28/07/2021 14:58:26 | position: 2.04 7.38 0.82
INFO:root:Datetime: 28/07/2021 14:58:27 | position: 1.91 7.77 0.79
INFO:root:Datetime: 28/07/2021 14:58:27 | position: 1.91 7.93 0.62
INFO:root:Datetime: 28/07/2021 14:58:27 | position: 1.79 8.31 0.73
INFO:root:Datetime: 28/07/2021 14:58:28 | position: 1.69 8.79 0.85
INFO:root:Datetime: 28/07/2021 14:58:28 | position: 1.66 9.09 0.84
INFO:root:Datetime: 28/07/2021 14:58:28 | position: 1.71 9.31 0.76
INFO:root:Datetime: 28/07/2021 14:58:29 | position: 1.67 9.78 0.90
INFO:root:Datetime: 28/07/2021 14:58:29 | position: 1.60 10.25 0.97
INFO:root:Datetime: 28/07/2021 14:58:29 | position: 1.99 10.43 0.77
INFO:root:Datetime: 28/07/2021 14:58:29 | position: 1.99 10.71 0.61
INFO:root:Datetime: 28/07/2021 14:58:30 | position: 1.87 11.23 0.72
INFO:root:Datetime: 28/07/2021 14:58:30 | position: 1.77 11.63 0.67
INFO:root:Datetime: 28/07/2021 14:58:30 | position: 1.72 11.80 0.65
INFO:root:Datetime: 28/07/2021 14:58:31 | position: 1.68 12.13 0.62
INFO:root:Datetime: 28/07/2021 14:58:31 | position: 1.80 12.60 0.57
INFO:root:Datetime: 28/07/2021 14:58:31 | position: 1.72 12.98 0.65
INFO:root:Datetime: 28/07/2021 14:58:32 | position: 1.63 13.17 0.69
INFO:root:Datetime: 28/07/2021 14:58:32 | position: 1.62 13.59 0.73
INFO:root:Datetime: 28/07/2021 14:58:32 | position: 1.58 14.10 0.83
INFO:root:Datetime: 28/07/2021 14:58:32 | position: 1.51 14.36 0.85
INFO:root:Datetime: 28/07/2021 14:58:33 | position: 1.42 14.51 0.71
INFO:root:Datetime: 28/07/2021 14:58:33 | position: 1.51 15.02 1.14
INFO:root:Datetime: 28/07/2021 14:58:33 | position: 1.44 15.37 1.18
INFO:root:Datetime: 28/07/2021 14:58:34 | position: 1.41 15.50 0.95
INFO:root:Datetime: 28/07/2021 14:58:34 | position: 1.46 15.79 1.08
INFO:root:Datetime: 28/07/2021 14:58:34 | position: nan nan nan
INFO:root:Datetime: 28/07/2021 14:58:35 | position: nan nan nan
INFO:root:Datetime: 28/07/2021 14:58:35 | position: 1.31 15.98 1.25
INFO:root:Datetime: 28/07/2021 14:58:35 | position: 1.16 16.03 1.02
INFO:root:Datetime: 28/07/2021 14:58:35 | position: nan nan nan
INFO:root:Datetime: 28/07/2021 14:58:36 | position: 0.82 15.43 0.60
INFO:root:Datetime: 28/07/2021 14:58:36 | position: 0.93 15.32 0.74
INFO:root:Datetime: 28/07/2021 14:58:36 | position: 0.96 15.18 0.82
INFO:root:Datetime: 28/07/2021 14:58:37 | position: 0.73 14.67 0.68
INFO:root:Datetime: 28/07/2021 14:58:37 | position: 0.86 14.10 0.65
INFO:root:Datetime: 28/07/2021 14:58:37 | position: 0.99 13.98 0.80
INFO:root:Datetime: 28/07/2021 14:58:38 | position: 1.04 13.76 0.81
INFO:root:Datetime: 28/07/2021 14:58:38 | position: 1.01 13.12 0.82
INFO:root:Datetime: 28/07/2021 14:58:38 | position: 1.06 12.64 0.78
INFO:root:Datetime: 28/07/2021 14:58:38 | position: 1.08 12.65 0.77
INFO:root:Datetime: 28/07/2021 14:58:39 | position: 1.03 12.32 0.82
